,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
30,27.28,89.13,23.77,31.45,42.64,27.89,40.73,83.83,80.68,63.05,41.08,89.81,82.1,88.05,83.07,93.33,60.51,89.22,79.56,74.99,87.48,93.78,88.01,62.34,86.58,91.06,91.57,92.43,96.3,88.06,93.65,89.63,82.99,92.3,84.49,96.7,64.5,93.82,96.74,67.92,85.73,88.74,94.47,98.69,90.36,89.29,92.25,92.97,93.05,89.8,93.73,92.52,88.04,78.78,92.33
31,15.9,22.38,67.82,44.98,17.6,84.49,38.08,59.73,10.52,68.05,87.3,91.57,93.05,89.8,57.41,47.14,90.92,93.65,92.25,98.69,98.2,93.82,89.29,94.47,92.97,93.27,91.73,94.82,96.74,92.65,91.18,90.03,93.73,92.3,92.52,89.63,96.3,90.79,91.99,94.01,71.72,91.29,95.37,92.06,90.57,95.85,91.35,93.78,95.06,96.04,88.99,94.64,86.11,91.83,94.15
32,93.82,64.25,49.91,12.23,20.77,21.41,87.48,91.06,93.05,60.63,91.65,91.57,82.99,90.33,84.49,94.68,73.72,89.63,88.18,92.25,78.42,64.5,90.92,88.13,92.3,92.13,90.23,81.28,34.87,98.69,95.31,98.2,96.74,94.47,92.97,94.15,91.18,91.35,93.65,92.65,88.74,92.92,93.82,96.3,91.45,91.73,90.03,91.29,93.73,95.37,93.94,93.27,90.79,92.52,96.04
33,53.34,82.87,62.75,17.43,11.14,82.1,75.02,89.01,62.34,49.15,74.22,71.78,39.79,52.04,67.83,55.51,89.81,93.1,52.88,93.62,94.46,79.56,82.68,77.41,78.56,76.46,83.84,87.99,89.78,82.58,77.9,97.32,60.51,85.48,67.02,8.67,52.32,91.32,24.75,77.01,79.47,83.1,90.79,70.99,89.03,84.98,76.61,92.8,62.34,93.81,75.36,91.29,90.61,75.29,92.97
34,74.79,61.62,48.06,21.07,19.09,83.6,6.45,57.94,15.15,72.45,77.71,91.93,66.89,68.33,12.89,87.47,91.32,89.22,69.6,85.26,86.82,75.63,91.88,81.14,89.16,48.99,25.72,91.69,50.06,83.51,92.53,67.2,70.16,70.45,83.02,92.63,46.81,71.71,81.16,82.08,86.25,72.44,68.32,92.88,85.64,77.34,92.27,58.79,91.57,54.09,93.44,59.55,85.69,91.14,88.23
35,4.25,93.82,10.13,72.38,15.27,92.6,89.45,93.65,87.84,81.48,92.8,88.59,93.38,98.69,89.96,75.94,92.9,95.31,96.42,92.33,22.93,96.7,98.2,81.77,89.29,97.42,93.7,93.27,89.8,91.0,96.6,96.49,97.45,92.65,95.86,87.68,82.77,85.73,88.74,92.43,68.5,95.85,94.82,92.97,16.66,96.49,82.96,91.35,91.73,94.01,93.94,86.11,96.74,96.04,93.05
36,90.62,55.13,88.6,72.63,85.35,75.54,73.6,45.58,77.57,58.39,87.35,93.78,91.57,92.97,88.06,91.24,89.34,88.43,92.43,84.38,32.72,91.29,89.63,88.01,96.04,94.15,93.13,95.06,94.01,91.45,85.46,93.65,95.37,92.06,92.52,91.29,96.74,96.3,98.69,92.65,92.9,93.82,92.82,92.3,94.47,89.29,93.73,67.92,93.28,89.8,94.67,91.18,92.07,90.79,90.36
37,76.88,51.31,18.07,67.49,39.5,96.2,72.54,31.65,51.14,19.52,87.18,37.03,91.18,79.45,90.92,93.27,73.72,92.13,98.2,90.23,93.7,95.85,91.35,94.82,96.42,47.14,89.19,89.45,90.61,87.27,92.92,87.3,93.38,92.73,94.7,87.61,91.73,76.2,82.9,95.49,83.91,90.96,94.64,91.89,88.53,92.01,90.03,88.37,91.24,92.03,94.03,90.3,91.07,85.85,94.38
38,59.04,83.02,9.89,75.18,64.11,91.69,91.47,69.6,56.14,30.89,91.34,83.05,81.74,77.13,27.31,95.93,95.95,71.51,81.77,94.23,90.21,65.45,86.4,78.77,84.05,93.99,83.3,70.45,87.64,93.38,87.82,56.2,96.89,84.39,95.58,93.7,88.5,96.14,87.5,9.76,85.43,96.57,97.83,75.94,93.65,97.29,94.67,92.6,87.87,92.59,90.89,92.77,80.43,82.99,94.07
39,1.79,48.33,61.53,83.82,90.92,94.23,73.19,93.09,93.46,15.1,95.58,88.53,82.49,95.49,87.84,75.42,63.8,87.5,94.71,9.76,91.34,96.42,94.7,77.32,92.33,98.2,89.45,92.73,86.31,75.39,91.35,94.82,81.77,98.69,18.29,95.85,87.27,93.65,89.8,94.38,89.29,94.47,82.9,93.55,84.05,90.61,62.64,63.24,96.25,97.09,87.52,94.85,38.08,96.75,89.53
40,71.54,55.51,55.25,16.49,12.78,85.77,85.95,63.88,16.83,86.08,92.53,68.32,93.43,73.5,95.34,93.44,93.79,82.08,77.13,16.43,90.89,91.96,73.94,92.77,84.9,87.6,88.37,90.64,93.95,82.14,86.64,93.06,96.48,73.7,88.89,94.64,95.78,95.97,92.42,88.64,95.88,91.17,96.15,94.39,98.42,90.99,92.92,95.62,72.9,91.28,96.38,79.44,99.15,78.09,70.45
41,14.44,86.53,61.53,57.98,16.74,88.28,68.92,34.74,10.45,16.94,60.68,57.08,55.27,96.7,88.97,15.35,37.65,61.13,87.48,91.0,96.6,63.28,47.13,33.88,56.0,92.69,96.32,66.32,78.03,16.76,87.57,52.4,95.8,93.65,92.89,92.8,89.35,93.7,95.95,90.0,85.43,90.21,93.33,88.6,86.4,91.24,93.86,87.35,83.93,93.78,91.47,94.82,86.88,90.94,62.34
42,46.79,10.92,46.25,83.26,11.82,85.85,96.3,72.18,53.69,15.59,91.89,85.57,94.32,96.25,92.96,92.03,81.91,94.85,86.44,70.65,98.42,79.89,97.09,90.29,80.34,92.92,96.48,94.38,93.55,94.71,94.82,94.7,96.61,88.33,89.15,98.2,94.64,93.45,90.21,87.04,93.7,93.27,81.77,77.29,92.59,91.35,91.77,94.39,86.4,94.23,95.65,86.31,95.97,87.5,82.19
43,78.96,1.02,28.86,13.59,21.75,72.84,81.16,85.21,72.12,12.68,91.37,93.43,52.43,72.51,84.9,85.77,90.89,87.49,70.77,93.44,92.53,78.31,83.98,71.78,73.94,71.11,45.46,90.9,87.6,82.08,92.27,93.67,76.89,86.64,91.75,85.95,16.83,68.32,73.5,100.0,90.96,83.9,82.5,100.0,51.57,84.74,92.52,93.28,99.15,83.8,69.6,68.7,94.83,97.98,90.07
44,91.32,56.94,81.91,16.06,15.12,91.95,50.06,73.01,85.04,91.24,2.13,90.6,67.59,91.89,91.4,25.72,92.03,81.58,96.3,81.14,96.05,85.57,94.32,91.87,16.0,95.88,81.16,38.88,94.82,82.92,90.99,88.9,98.2,94.64,94.38,96.76,93.27,91.73,98.42,94.7,93.7,92.92,90.96,90.21,96.48,96.38,93.94,95.85,91.35,93.45,68.5,84.02,95.57,95.65,77.29
45,88.84,44.26,88.01,48.02,93.44,89.34,93.43,84.9,100.0,16.43,91.75,83.9,82.5,89.27,51.57,91.73,92.97,96.04,95.34,100.0,93.28,99.15,95.53,96.28,91.9,90.96,84.72,93.79,88.71,85.42,94.01,75.68,100.0,86.19,73.96,90.03,98.69,92.65,88.64,82.58,98.2,96.74,94.47,93.05,92.33,93.7,91.18,93.82,91.29,92.3,90.23,94.82,93.65,89.29,95.06
46,4.37,60.0,37.8,23.94,18.31,14.51,61.39,37.35,58.79,12.8,66.13,64.29,48.91,69.46,22.65,68.06,42.57,73.25,98.61,71.66,88.31,95.62,80.64,60.14,96.15,91.47,92.96,95.78,95.36,52.04,91.17,92.7,92.52,70.52,94.32,92.03,94.39,88.58,96.48,14.44,94.64,91.4,58.64,47.92,95.97,81.84,87.35,95.65,93.12,91.73,92.09,84.04,88.99,90.96,85.21
47,3.32,11.46,17.77,23.86,16.82,7.25,20.16,17.46,28.41,15.73,21.04,20.49,27.72,25.49,26.72,16.45,24.17,26.67,58.49,19.79,76.73,73.12,58.57,26.72,39.34,98.69,78.31,73.72,73.24,54.22,92.9,98.2,92.65,91.75,92.33,90.03,96.42,92.97,91.45,94.7,96.76,88.09,91.73,96.04,93.05,81.23,85.58,94.64,94.57,77.63,93.43,90.92,92.8,94.01,73.07
48,8.83,82.45,6.5,14.01,31.17,74.87,84.89,73.61,82.14,19.22,84.09,86.97,88.64,77.72,83.25,90.03,78.9,83.26,82.58,100.0,92.65,58.07,72.92,88.19,72.18,73.72,86.82,85.92,92.33,91.9,98.2,90.36,89.27,86.19,100.0,91.75,94.7,93.44,88.96,100.0,91.35,93.28,99.15,90.07,83.8,90.96,97.98,95.53,96.28,92.58,94.82,94.83,84.9,95.34,90.81
49,51.38,65.69,48.51,14.61,18.25,27.55,9.62,72.44,66.72,91.08,86.63,86.36,93.73,91.99,86.82,91.83,88.6,90.79,90.57,88.19,91.45,91.37,90.53,92.65,69.92,90.26,65.6,96.74,91.75,91.45,93.82,92.3,94.47,98.69,90.36,93.65,67.92,93.05,89.8,92.33,89.63,89.29,92.25,90.33,84.49,81.28,88.43,91.57,82.99,88.13,98.2,86.88,93.28,72.51,84.83
